,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
61,MOFFusion_uncond_vbn+N554+E183,-0.41357421875,4.92578125,0.8400420017476052,0.04986572265625,0.0296585189,0.1153564453125,0.1492252523,0.9443359375,0.13916015625,0.1776402275,3.119140625,3.35728319,3.3671875,3.7667117,1.826171875,2.01584789,0.07342529296875,0.1195667334,MOFFusion_uncond
38,MOFFusion_uncond_snl+N162+E15,-0.64892578125,4.5,0.7685770156079875,0.0667724609375,0.0490602049,0.2257080078125,0.2209547085,0.943359375,0.2496337890625,0.2874854491,3.03515625,3.33280959,3.580078125,3.67896046,2.015625,1.93286231,0.127685546875,0.1718945036,MOFFusion_uncond
154,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K_15_100_seed_123_sample_65,-1.0849609375,7.9765625,1.522148916176112,0.130126953125,0.0682625959,0.55908203125,0.4504355151,0.91455078125,0.292236328125,0.2959207935,4.71484375,4.4696919600000005,4.33203125,4.991598649999999,2.61328125,2.58326257,0.411865234375,0.3821729192,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K
14,MOFFusion_h2_cdt+N627+E95,-0.83251953125,7.43359375,0.7578678203309324,0.0645751953125,0.0257717809,0.288330078125,0.1087608672,0.9140625,0.18359375,0.1435090187,4.2421875,3.20020044,4.18359375,3.4655239,2.12890625,1.96770134,0.154052734375,0.0829890863,MOFFusion_h2
406,MOFDIFF_optimized_working-capacity-vacuum-swing_15_100_seed_123_sample_19,-0.08428955078125,6.2109375,1.6749721603460028,0.095458984375,0.0893107659,0.31884765625,0.5837460328,0.88916015625,0.29931640625,0.3485108867,3.841796875,4.70890706,4.0546875,5.20425368,2.265625,2.63685115,0.388427734375,0.4944352669,MOFDIFF_optimized_working-capacity-vacuum-swing
42,MOFReinforce_selectivity_sit+N86+9,-1.5673828125,5.0078125,,0.07110595703125,,0.228759765625,,0.88134765625,0.20263671875,,3.474609375,,3.54296875,,1.92578125,,0.1624755859375,,MOFReinforce_selectivity
36,MOFReinforce_selectivity_rob+N493+23,-0.89013671875,5.1796875,,0.06378173828125,,0.252197265625,,0.88037109375,0.199462890625,,3.40625,,3.634765625,,1.9052734375,,0.12396240234375,,MOFReinforce_selectivity
358,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K_15_100_seed_123_sample_19,-0.59912109375,5.875,,0.06512451171875,,0.250732421875,,0.88037109375,0.239501953125,,3.779296875,,4.00390625,,2.34375,,0.1849365234375,,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K
401,MOFDIFF_optimized_working-capacity-vacuum-swing_15_100_seed_123_sample_8,-0.91455078125,14.6015625,2.3253115597697307,0.127197265625,0.102641122,0.8984375,0.7655287543,0.87939453125,0.297607421875,0.329215563,4.58203125,5.04814127,5.5078125,5.54169061,2.677734375,3.02394989,0.70458984375,0.6628876323,MOFDIFF_optimized_working-capacity-vacuum-swing
9,MOFFusion_uncond_ecu+N542+E150,-1.2744140625,7.75390625,1.3029433961586117,0.10479736328125,0.0735502553,0.55224609375,0.4377013467,0.8779296875,0.278076171875,0.3359327412,4.56640625,4.31231524,4.46484375,5.017073659999999,2.51953125,2.4601226,0.352783203125,0.3641510914,MOFFusion_uncond
