,CIF,Bandgap,CO2/N2_selectivity,CO2/N2_selectivity,CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.10bar_T363K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],CO2_uptake_P0.15bar_T298K [mmol/g],H2 uptake [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],N2_binary_uptake_P0.85bar_T298K [mmol/g],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.10bar_T363K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],heat_adsorption_N2_binary_P0.85bar_T298K [kcal/mol],working_capacity_vacuum_swing [mmol/g],working_capacity_vacuum_swing [mmol/g],Model
,,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,MOFTransformer,Simulation,
283,MOFDIFF_optimized_heat-adsorption-CO2-P0.15bar-T298K_15_100_seed_123_sample_25,-1.7353515625,28.21875,10.884923632638232,0.1419677734375,0.231405136,1.3798828125,2.0709939702,-2.322265625,0.1851806640625,0.1902626091,6.69140625,7.16681413,7.31640625,7.43402808,3.8671875,4.04305306,1.1396484375,1.8395888342,MOFDIFF_optimized_heat-adsorption-CO2-P0.15bar-T298K
169,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_28,-0.9306640625,17.234375,8.376472789868355,0.281982421875,0.2554904154,1.8427734375,2.0749157233,-0.10699462890625,0.29296875,0.2477075704,6.16015625,7.16718936,6.296875,7.15813604,3.634765625,3.5491022,1.4794921875,1.8194253079,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K
284,MOFDIFF_optimized_heat-adsorption-CO2-P0.15bar-T298K_15_100_seed_123_sample_85,-0.73486328125,26.453125,21.88492824004401,0.10858154296875,0.4140162681,0.97607421875,2.1755295647,-1.6572265625,0.1317138671875,0.0994076627,6.01171875,8.683826,5.984375,7.37585309,3.3515625,3.1639776,0.84033203125,1.7615132966000002,MOFDIFF_optimized_heat-adsorption-CO2-P0.15bar-T298K
336,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K_15_100_seed_123_sample_27,-0.1409912109375,22.828125,14.534040527250246,0.1488037109375,0.5333156945,1.580078125,2.2587792198,-3.029296875,0.1534423828125,0.1554130261,6.48046875,8.13724734,7.0546875,7.92572995,3.71484375,4.573912689999999,1.2626953125,1.7254635253,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K
387,MOFDIFF_optimized_working-capacity-vacuum-swing_15_100_seed_123_sample_88,-0.54248046875,19.3125,8.375905797666942,0.1279296875,0.3954736919,0.92041015625,2.0808838223,-3.0703125,0.2230224609375,0.2484368703,5.8203125,7.515479279999999,6.0546875,7.19269305,3.556640625,4.06852329,0.775390625,1.6854101304000002,MOFDIFF_optimized_working-capacity-vacuum-swing
170,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_93,-0.5712890625,17.25,4.512404895451801,0.1715087890625,0.2179115785,1.1474609375,1.8540663291,0.6767578125,0.303955078125,0.4108820844,5.56640625,6.2965984,5.671875,6.44807899,3.32421875,3.46383178,0.8369140625,1.6361547505999998,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K
121,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K_15_100_seed_123_sample_73,-1.6064453125,26.234375,7.005652758825958,0.2218017578125,0.3719043759,1.7607421875,1.9751419829,-1.1064453125,0.291015625,0.2819354671,5.9140625,7.536346369999999,5.96484375,6.72645424,3.681640625,3.70002353,1.5166015625,1.603237607,MOFDIFF_optimized_CO2-uptake-P0.15bar-T298K
337,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K_15_100_seed_123_sample_53,-1.2470703125,49.84375,18.45159693579401,0.2467041015625,0.3083191748,2.181640625,1.8831170973,-3.603515625,0.09210205078125,0.1020571338,7.74609375,8.61745092,8.640625,8.94433122,4.1640625,4.930706229999999,1.662109375,1.5747979225,MOFDIFF_optimized_heat-adsorption-N2-binary-P0.85bar-T298K
171,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K_15_100_seed_123_sample_22,-1.50390625,29.546875,14.540591969402495,0.33154296875,0.5145351615,1.6103515625,2.0670668692,-3.95703125,0.1734619140625,0.1421583711,8.6171875,8.80732208,8.6328125,8.38690913,5.58203125,5.17757889,1.2158203125,1.5525317077,MOFDIFF_optimized_N2-binary-uptake-P0.85bar-T298K
6,MOFFusion_h2_cab+N172+E216,-0.41845703125,11.0859375,8.01454512459785,0.07769775390625,0.1893728917,0.5966796875,1.4031435183,-1.08203125,0.18603515625,0.1750746295,5.203125,7.708921099999999,5.234375,7.32826819,2.998046875,3.85381764,0.560546875,1.2137706266,MOFFusion_h2
